topic_number,word,weight
0,good,4796.065920112091
0,like,826.3792048338586
0,love,765.3033319117745
0,garbage,694.3580486828292
0,10,571.6225101272047
0,fix,314.6353322980077
0,meh,312.51215866450224
0,pretty,274.75097648305785
0,alright,261.4267553201098
0,yeah,242.96341568240766
1,fun,3899.580342658709
1,better,1537.6153812999153
1,shit,1405.570000246114
1,great,1327.9749334207859
1,battlefield,1202.486373077834
1,buy,880.5124937359739
1,best,796.236478212495
1,play,713.0540368301217
1,dont,684.0997724442768
1,bugs,650.1443469066077
2,bad,2589.8035068657755
2,battlefield,2315.0242276082445
2,like,1781.563415385746
2,play,1668.3018051575275
2,money,1326.4902225357944
2,time,1269.351886497264
2,games,1161.1701182401946
2,ea,1090.3036773456756
2,worth,1086.2184100532822
2,maps,1070.9943272018998
