topic_number,word,weight
0,yes,1786.2223103579138
0,love,1570.1364992254503
0,bad,1287.1852030634386
0,shit,1176.9035953336013
0,dont,1006.937025169141
0,cool,901.6566477375547
0,ubisoft,859.7034062660208
0,play,844.616712117769
0,suck,797.5807400759297
0,amazing,698.1289124518164
1,good,8525.628220835808
1,10,1060.989188083736
1,nice,1005.1450034998257
1,like,927.4073991259746
1,life,689.6947174739919
1,gud,568.0409712101012
1,want,511.5657740391329
1,make,504.30314001719864
1,racist,439.4881131756422
1,im,421.74853578214265
2,fun,5734.717729777123
2,great,1537.5170695667368
2,hate,1444.1946525350434
2,best,1427.8137541572066
2,play,978.2423884755808
2,really,823.2901981561714
2,make,760.9370006455032
2,hard,710.9932152618239
2,sigma,684.2763701617862
2,friend,558.0143515078205
