recommendationid,steamid,num_games_owned,num_reviews,playtime_forever,playtime_last_two_weeks,playtime_at_review,last_played,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access
180447223,76561199029371653,0,3,10220,328,10220,1732803845,english,The game is PHENOMENAL. First of all the gameplay and progression is really well made and makes me come back to the game very oftenly. The story is deep and talks about some serious themes which I LOVE and it just makes the game really fun to explore to find some lore details. Overall if you don't have the game I suggest you try it out (although in my opinion playing the game with all of the dlcs just make me want to not recomend the game without dlcs but the main game in it self is also really good),1732803819,1732803819,True,0,0,0,0,True,False,False
180434086,76561199588822660,0,1,4441,2483,4381,1732806059,english,This game... is peak 😎,1732801950,1732801950,True,0,0,0,0,True,False,False
180432962,76561198999974561,42,10,1859,1244,1859,1732793896,english,I love living in the basement. Any questions?,1732801787,1732801787,True,0,0,0,0,True,False,False
180428726,76561198042023355,0,4,21707,181,21616,1732806643,english,Good Game,1732801180,1732801180,True,0,0,0,0,True,False,False
180421420,76561199531001705,23,3,194,118,156,1732804111,english,"This game might not seem interesting at first, but it'll grow on you like a tumor.",1732800109,1732800109,True,0,0,0,0,True,False,False
180417506,76561198030240714,0,11,12852,654,12763,1732805478,english,The GOAT,1732799607,1732799607,True,0,0,0,0,True,False,False
180411092,76561199028217595,61,3,47995,846,47994,1732798817,english,Now I can cry on poop online,1732798767,1732798767,True,0,0,0,0,True,False,False
180403462,76561198366411973,142,1,7659,5007,7550,1732806644,english,It's just PEAK,1732797610,1732797610,True,0,0,0,0,True,False,False
180396608,76561198997461736,35,8,20439,191,20439,1732738014,english,Repentance+ ruined Dead God being my last achievement. Shit game tbh,1732796573,1732796573,True,0,0,0,0,True,False,False
180396445,76561198296704817,30,2,6917,2948,6861,1732806402,english,"Good Game, Good Soundtrack, Fiend Folio for Repentance+ DLC needs to exist. 9.5/10",1732796547,1732796767,True,0,0,0,0,True,False,False
180381877,76561197989562801,0,1,6054,1230,6039,1732806412,english,Best value game in existence.  Period.,1732794252,1732794252,True,0,0,0,0,True,False,False
180379093,76561199026733291,121,10,3702,2037,3702,1732805475,english,I suck at this game but it sucks me harder,1732793808,1732793808,True,0,0,0,0,True,False,False
180374468,76561198179811150,0,1,30465,231,30416,1732795818,english,fun,1732793060,1732793060,True,0,0,0,0,True,False,False
180364582,76561199210379100,0,3,2225,1459,2199,1732794141,english,worth every penny,1732791447,1732791447,True,0,0,0,0,True,False,False
180356956,76561198319630635,62,16,37599,3945,37483,1732800830,english,tainted lost no holy card,1732790217,1732790217,True,0,0,0,0,True,False,False
180356573,76561198225338964,49,9,19233,0,19233,1731566203,english,little baby man,1732790151,1732790151,True,0,0,0,0,True,False,False
180334968,76561199058024542,25,8,7218,7218,6976,1732806232,english, game ruined my life cuz all i do on the little free tme i have is play it. 10/10,1732786413,1732786413,True,1,0,0.52173912525177002,0,True,False,False
180331929,76561198982663202,73,15,1448,752,1448,1732785813,english,GOOD,1732785835,1732785835,True,0,0,0,0,True,False,False
180325463,76561198364529105,0,1,27593,1076,27556,1732787763,english,I love Hitbox and Esau <3,1732784608,1732784608,True,0,0,0,0,True,False,False
180323080,76561198053641132,0,15,4795,793,4666,1732799766,english,"Great game, replayable, engaging, addictive, fun, weird, gross, variety, frustration, confusion, hype, easy to pick up and put down, fresh, niche, crazy, bRok3n..,3error404

Not my personal favorite of all time, but it is the greatest off all time in it's genre",1732784154,1732784154,True,0,0,0,0,True,False,False
180319836,76561198045716986,3687,14,24134,3525,24134,1732738687,english,"A Roguelike that offers you a different box of chocolates every single time you press play. There are a lot of hidden mechanics, but when you learn most of them you become a master manipulator of this box of chocolates. It is one of the few Roguelikes that offers a varied experience every single run. If you have the patience to learn deep mechanics, fight living shits and clean rooms filled with nasties then you will uncover a deep ocean of enjoyment, frustration and heart.",1732783546,1732783546,True,0,0,0,0,True,False,False
180317628,76561198045648666,793,48,40559,167,40456,1732794211,english,"After 600h I can finally play the game. Well, after I beat 2 more saves.",1732783166,1732783166,True,0,0,0,0,True,False,False
