recommendationid,review,sentiment,emotion
180588281,Recommend to upgrade badge :D,"[{'label': '5 stars', 'score': 0.44267523288726807}]","[{'label': 'neutral', 'score': 0.8014459609985352}]"
180564445,"The game is great. Would like mod support, and Co-op.","[{'label': '5 stars', 'score': 0.49408677220344543}]","[{'label': 'joy', 'score': 0.7102980017662048}]"
180563660,Don Cheadle Approves,"[{'label': '5 stars', 'score': 0.3469456732273102}]","[{'label': 'neutral', 'score': 0.6517099738121033}]"
180560811,Good game!,"[{'label': '4 stars', 'score': 0.5224006772041321}]","[{'label': 'joy', 'score': 0.9167294502258301}]"
180555434,Might actually be a perfect evolution of Stronghold,"[{'label': '3 stars', 'score': 0.4030851721763611}]","[{'label': 'neutral', 'score': 0.8630936145782471}]"
180546383,Dont care much for story but sandbox replayabilty is awesome for me. Good for time killing. Could use more bigger maps but its good for what it has.,"[{'label': '4 stars', 'score': 0.6179370880126953}]","[{'label': 'joy', 'score': 0.9102504849433899}]"
180540890,Really good!,"[{'label': '5 stars', 'score': 0.6375570297241211}]","[{'label': 'joy', 'score': 0.8946189284324646}]"
180537730,wowie,"[{'label': '5 stars', 'score': 0.545853316783905}]","[{'label': 'surprise', 'score': 0.9423632025718689}]"
180533660,"Love it so far, Strategy townbuilding mixed with wave defense! Lots of unit variety and building variety. Different game modes, including a endless mode which is awesome! Crisp controls, nice looking effects, good soundtrack. Have not run into any bugs etc so far. Having a blast. Would recommend to anyone!","[{'label': '5 stars', 'score': 0.8838931918144226}]","[{'label': 'joy', 'score': 0.9465681314468384}]"
180533157,Awesome,"[{'label': '5 stars', 'score': 0.8306540250778198}]","[{'label': 'joy', 'score': 0.44721925258636475}]"
180532749,"""I don't need Lumberjacks, I need MORE MEN"" -- Me, playing this game","[{'label': '5 stars', 'score': 0.5122635364532471}]","[{'label': 'neutral', 'score': 0.888995349407196}]"
180527692,"Aaaaaaaah, Everything's on fire","[{'label': '1 star', 'score': 0.45500826835632324}]","[{'label': 'surprise', 'score': 0.3911570906639099}]"
180524228,Good game,"[{'label': '4 stars', 'score': 0.5576134324073792}]","[{'label': 'joy', 'score': 0.5206969976425171}]"
180521322,Impossible,"[{'label': '1 star', 'score': 0.7925915122032166}]","[{'label': 'surprise', 'score': 0.5058770775794983}]"
180510232,marvelous,"[{'label': '5 stars', 'score': 0.8115188479423523}]","[{'label': 'joy', 'score': 0.5749613046646118}]"
180506338,You'll be so bad at this game but won't be able to stop coming back.,"[{'label': '2 stars', 'score': 0.37968748807907104}]","[{'label': 'disgust', 'score': 0.5469682812690735}]"
